flights,departure_lat,departure_lng,arrival_lat,arrival_lng,year,node_dc,urban_group
2258,29.71921,106.641602,26.538521,106.800697,2015,0.696552,none
2253,30.783751,114.208099,22.608259,108.172401,2015,0.425287,none
2249,24.939379,98.482025,25.101944,102.929169,2015,0.055172,none
2239,40.853503,111.826381,42.159704,118.846745,2015,0.337931,none
2234,42.159704,118.846745,40.853503,111.826381,2015,0.05977,none
2223,29.826679,121.461899,22.63925,113.8106,2015,0.365517,yrd
2222,22.63925,113.8106,29.826679,121.461899,2015,0.63908,prd
2214,25.935061,119.6632,31.742041,118.862,2015,0.374713,none
2212,45.623402,126.250298,22.63925,113.8106,2015,0.452874,none
2212,36.266102,120.374397,22.63925,113.8106,2015,0.445977,none
2210,31.742041,118.862,25.935061,119.6632,2015,0.43908,yrd
2210,22.63925,113.8106,45.623402,126.250298,2015,0.63908,prd
2208,36.51524,103.620697,31.14337,121.805199,2015,0.436782,none
2206,22.63925,113.8106,36.266102,120.374397,2015,0.63908,prd
2203,24.544029,118.127701,31.986345,116.970474,2015,0.436782,none
2202,36.525322,102.037537,40.084152,116.592735,2015,0.257471,none
2199,31.986345,116.970474,24.544029,118.127701,2015,0.28046,yrd
2199,31.196099,121.339766,18.302891,109.412201,2015,0.358621,yrd
2198,40.084152,116.592735,36.525322,102.037537,2015,0.887356,bth
2195,23.392429,113.298698,43.907101,87.474243,2015,0.675862,prd
2183,41.639839,123.483398,36.266102,120.374397,2015,0.445977,none
2171,30.57852,103.946999,26.683332,100.25,2015,0.721839,none
2170,36.266102,120.374397,41.639839,123.483398,2015,0.445977,none
2168,26.683332,100.25,30.57852,103.946999,2015,0.216092,none
2168,18.302891,109.412201,31.196099,121.339766,2015,0.335632,none
2162,31.742041,118.862,45.623402,126.250298,2015,0.43908,yrd
